geoid,name,metric,reason
1302116,"Americus city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Unavailable MOE or zero percentage
1302116,"Americus city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Unavailable MOE or zero percentage
1302116,"Americus city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Unavailable MOE or zero percentage
1302116,"Americus city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Unavailable MOE or zero percentage
1302116,"Americus city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Percentage MOE exceeds 50% of estimate
1302116,"Americus city, Georgia",story_scale_exclusion,Percentage MOE exceeds 50% of estimate
1302256,"Andersonville city, Georgia",pct_responsible_exclusion,Percentage MOE exceeds 50% of estimate
1302256,"Andersonville city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Unavailable MOE or zero percentage
1302256,"Andersonville city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Unavailable MOE or zero percentage
1302256,"Andersonville city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Unavailable MOE or zero percentage
1302256,"Andersonville city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Unavailable MOE or zero percentage
1302256,"Andersonville city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Percentage MOE exceeds 50% of estimate
1302256,"Andersonville city, Georgia",story_scale_exclusion,Denominator below story-scale threshold
1302364,"Antioch CDP, Georgia",pct_responsible_exclusion,Missing input or nonpositive denominator
1302364,"Antioch CDP, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Missing input or nonpositive denominator
1302364,"Antioch CDP, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Missing input or nonpositive denominator
1302364,"Antioch CDP, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Missing input or nonpositive denominator
1302364,"Antioch CDP, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Missing input or nonpositive denominator
1302364,"Antioch CDP, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Missing input or nonpositive denominator
1302364,"Antioch CDP, Georgia",story_scale_exclusion,Denominator below story-scale threshold
1302536,"Appling CDP, Georgia",pct_responsible_exclusion,Unavailable MOE or zero percentage
1302536,"Appling CDP, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Missing input or nonpositive denominator
1302536,"Appling CDP, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Missing input or nonpositive denominator
1302536,"Appling CDP, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Missing input or nonpositive denominator
