geoid,name,pct_responsible_exclusion
05045,"Faulkner County, Arkansas",Retained
04012,"La Paz County, Arizona",Retained
40035,"Craig County, Oklahoma",Retained
47097,"Lauderdale County, Tennessee",Retained
18147,"Spencer County, Indiana",Retained
17179,"Tazewell County, Illinois",Retained
01045,"Dale County, Alabama",Retained
12055,"Highlands County, Florida",Retained
39031,"Coshocton County, Ohio",Retained
42061,"Huntingdon County, Pennsylvania",Retained
05091,"Miller County, Arkansas",Retained
54081,"Raleigh County, West Virginia",Retained
13103,"Effingham County, Georgia",Retained
47131,"Obion County, Tennessee",Retained
42009,"Bedford County, Pennsylvania",Retained
45029,"Colleton County, South Carolina",Retained
47119,"Maury County, Tennessee",Retained
26033,"Chippewa County, Michigan",Retained
54011,"Cabell County, West Virginia",Retained
20099,"Labette County, Kansas",Retained
48459,"Upshur County, Texas",Retained
42037,"Columbia County, Pennsylvania",Retained
37165,"Scotland County, North Carolina",Retained
36021,"Columbia County, New York",Retained
13031,"Bulloch County, Georgia",Retained
39147,"Seneca County, Ohio",Retained
40083,"Logan County, Oklahoma",Retained
42013,"Blair County, Pennsylvania",Retained
05059,"Hot Spring County, Arkansas",Retained
54077,"Preston County, West Virginia",Retained
28099,"Neshoba County, Mississippi",Retained
20037,"Crawford County, Kansas",Retained
54059,"Mingo County, West Virginia",Retained
51033,"Caroline County, Virginia",Retained
47089,"Jefferson County, Tennessee",Retained
05015,"Carroll County, Arkansas",Retained
40019,"Carter County, Oklahoma",Retained
45037,"Edgefield County, South Carolina",Retained
18119,"Owen County, Indiana",Retained
23021,"Piscataquis County, Maine",Retained
51169,"Scott County, Virginia",Retained
51193,"Westmoreland County, Virginia",Retained
39021,"Champaign County, Ohio",Retained
17183,"Vermilion County, Illinois",Retained
47003,"Bedford County, Tennessee",Retained
28115,"Pontotoc County, Mississippi",Retained
48441,"Taylor County, Texas",Retained
13291,"Union County, Georgia",Retained
37137,"Pamlico County, North Carolina",Retained
05035,"Crittenden County, Arkansas",Retained
13279,"Toombs County, Georgia",Retained
20035,"Cowley County, Kansas",Retained
01017,"Chambers County, Alabama",Retained
17115,"Macon County, Illinois",Retained
51015,"Augusta County, Virginia",Retained
51195,"Wise County, Virginia",Retained
54007,"Braxton County, West Virginia",Retained
19171,"Tama County, Iowa",Retained
36057,"Montgomery County, New York",Retained
45023,"Chester County, South Carolina",Retained
21151,"Madison County, Kentucky",Retained
29201,"Scott County, Missouri",Retained
39087,"Lawrence County, Ohio",Retained
40127,"Pushmataha County, Oklahoma",Retained
29031,"Cape Girardeau County, Missouri",Retained
13095,"Dougherty County, Georgia",Retained
35049,"Santa Fe County, New Mexico",Retained
05135,"Sharp County, Arkansas",Retained
36015,"Chemung County, New York",Retained
47035,"Cumberland County, Tennessee",Retained
12063,"Jackson County, Florida",Retained
37161,"Rutherford County, North Carolina",Retained
27007,"Beltrami County, Minnesota",Retained
29127,"Marion County, Missouri",Retained
41031,"Jefferson County, Oregon",Retained
20015,"Butler County, Kansas",Retained
40123,"Pontotoc County, Oklahoma",Retained
29021,"Buchanan County, Missouri",Retained
01097,"Mobile County, Alabama",Retained
13299,"Ware County, Georgia",Retained
18109,"Morgan County, Indiana",Retained
39149,"Shelby County, Ohio",Retained
39145,"Scioto County, Ohio",Retained
39037,"Darke County, Ohio",Retained
48099,"Coryell County, Texas",Retained
04007,"Gila County, Arizona",Retained
17165,"Saline County, Illinois",Retained
21079,"Garrard County, Kentucky",Retained
51770,"Roanoke city, Virginia",Retained
13069,"Coffee County, Georgia",Retained
28047,"Harrison County, Mississippi",Retained
21235,"Whitley County, Kentucky",Retained
55005,"Barron County, Wisconsin",Retained
25003,"Berkshire County, Massachusetts",Retained
56021,"Laramie County, Wyoming",Retained
39013,"Belmont County, Ohio",Retained
55101,"Racine County, Wisconsin",Retained
37039,"Cherokee County, North Carolina",Retained
36023,"Cortland County, New York",Retained
29003,"Andrew County, Missouri",Retained
26103,"Marquette County, Michigan",Retained
47123,"Monroe County, Tennessee",Retained
13127,"Glynn County, Georgia",Retained
21127,"Lawrence County, Kentucky",Retained
48485,"Wichita County, Texas",Retained
39109,"Miami County, Ohio",Retained
48375,"Potter County, Texas",Retained
45073,"Oconee County, South Carolina",Retained
27017,"Carlton County, Minnesota",Retained
28085,"Lincoln County, Mississippi",Retained
42085,"Mercer County, Pennsylvania",Retained
39023,"Clark County, Ohio",Retained
