geoid,name,pct_responsible_exclusion
21239,"Woodford County, Kentucky",Retained
22079,"Rapides Parish, Louisiana",Retained
40117,"Pawnee County, Oklahoma",Retained
13195,"Madison County, Georgia",Retained
29119,"McDonald County, Missouri",Retained
17055,"Franklin County, Illinois",Retained
48037,"Bowie County, Texas",Retained
22019,"Calcasieu Parish, Louisiana",Retained
13209,"Montgomery County, Georgia",Retained
05083,"Logan County, Arkansas",Retained
39009,"Athens County, Ohio",Retained
37049,"Craven County, North Carolina",Retained
21051,"Clay County, Kentucky",Retained
36115,"Washington County, New York",Retained
22115,"Vernon Parish, Louisiana",Retained
22067,"Morehouse Parish, Louisiana",Retained
39135,"Preble County, Ohio",Retained
47145,"Roane County, Tennessee",Retained
47103,"Lincoln County, Tennessee",Retained
22045,"Iberia Parish, Louisiana",Retained
39071,"Highland County, Ohio",Retained
28089,"Madison County, Mississippi",Retained
29510,"St. Louis city, Missouri",Retained
21107,"Hopkins County, Kentucky",Retained
47001,"Anderson County, Tennessee",Retained
05075,"Lawrence County, Arkansas",Retained
17157,"Randolph County, Illinois",Retained
42099,"Perry County, Pennsylvania",Retained
37107,"Lenoir County, North Carolina",Retained
18033,"DeKalb County, Indiana",Retained
48073,"Cherokee County, Texas",Retained
21029,"Bullitt County, Kentucky",Retained
01107,"Pickens County, Alabama",Retained
